Date,US,Brazil,Russia,India,China,South Africa,GFC,Covid
15-02-2005,0.004271272,0.002935533,0.007635428,-0.001388831,0,0.005785208,0,-1
16-02-2005,-0.000225213,-0.008529319,0.005042982,-0.009381154,0.00775551,-0.002231224,0,-1
17-02-2005,-0.007468616,0.026443804,0.005573647,-0.002802101,-0.002149478,0.014867102,0,-1
18-02-2005,0.00287472,-0.012442822,0.005079538,-0.000754571,-0.013542094,0.001939972,0,-1
22-02-2005,-0.016266587,-0.004216975,-0.002211093,0.008340433,0.019121107,0.033914335,0,-1
24-02-2005,0.007001986,0.044512507,0.025086399,-0.0012602,0.000361911,0.006489493,0,-1
25-02-2005,0.008597357,-0.000386908,0.015982174,-0.000683166,0.001903583,0.024088743,0,-1
28-02-2005,-0.006976124,-0.010112525,0.021259538,0.02170278,-0.004920401,-0.0221002,0,-1
01-03-2005,0.005905634,-0.014641655,-0.003243579,-0.009394767,-0.001985936,0.003222334,0,-1
02-03-2005,-0.001666233,0.016807118,-0.014173632,0.005369654,-0.012321952,-0.014458701,0,-1
03-03-2005,0.001945997,0.01645954,-0.002090103,0.014524143,0.005336652,-0.008573916,0,-1
04-03-2005,0.009876227,0.018284446,0.005931872,0.009499678,-0.005131587,0.034964693,0,-1
09-03-2005,-0.009853548,-0.017624511,0.006718668,-0.003225693,-0.001123299,0.010312271,0,-1
10-03-2005,0.004237839,0.001857011,-0.0152943,0.002149214,-0.023479912,-0.02110251,0,-1
11-03-2005,-0.007134949,-0.017372705,-0.001999306,-0.007836452,0.002878696,-0.008541929,0,-1
14-03-2005,0.002794348,0.000854488,-0.009985248,-0.006395027,0.002755211,-0.012888945,0,-1
15-03-2005,-0.005513818,-0.018353093,0.001675918,-0.008492569,-0.019009031,-0.038122982,0,-1
16-03-2005,-0.010480815,0.008625877,-0.031387268,-0.000825272,-0.010737915,-0.003538905,0,-1
17-03-2005,-0.000632257,0.009264459,0.004553064,-0.011532262,-0.009694917,0.017441283,0,-1
18-03-2005,0.000312412,-0.017709114,-0.001382882,0.004610352,-0.013009342,-0.007122132,0,-1
21-03-2005,-0.006065609,-0.006617725,-0.017883878,-0.006535893,0.002963713,-0.029407987,0,-1
22-03-2005,-0.00902082,-0.029356714,0.010525471,-0.018381121,-0.019790917,-0.014830738,0,-1
23-03-2005,-0.001384868,-0.013997883,-0.018470261,-0.012469876,-0.004378495,-0.019754065,0,-1
24-03-2005,-0.001258384,0.017148673,0.024989179,-0.001797247,0.005430221,0.001661113,0,-1
28-03-2005,0.004088233,-0.016805849,-0.008807278,0.010479046,-0.004589847,-0.018144068,0,-1
29-03-2005,-0.007653941,-0.015931545,-0.008915188,-0.022189715,-0.004254548,-0.009197138,0,-1
30-03-2005,0.012911993,0.024010941,-0.013658865,0.002124052,-0.018959891,0.033546146,0,-1
31-03-2005,-0.003532479,0.005312648,0.00560553,0.01730943,0.007360005,0.006166586,0,-1
01-04-2005,-0.009514103,0.006106603,0.016762777,0.017136076,0.035208263,0.014915555,0,-1
04-04-2005,0.001617238,-0.013802141,0.012212376,-9.39E-05,-0.016978539,-0.017651775,0,-1
05-04-2005,0.003574815,-0.014072117,0.004028232,-0.008229781,-0.009372424,0.008593335,0,-1
06-04-2005,0.00263168,-0.013260589,0.024032131,0.008531084,0.019216848,0.015765304,0,-1
07-04-2005,0.005734117,0.023576655,0.003396546,-0.009241213,0.008702902,-0.002409468,0,-1
08-04-2005,-0.008090471,-0.016209425,0.012569285,-0.010149674,0.018621282,-0.001609514,0,-1
11-04-2005,-0.001222414,0.000579318,-0.025512342,-0.012739108,-0.006064667,-0.003495914,0,-1
12-04-2005,0.005669862,0.011745423,-0.004900745,0.010432246,-0.017445033,0.000538643,0,-1
13-04-2005,-0.009950401,-0.005356609,0.010911634,0.000511897,0.023254972,-0.019301927,0,-1
15-04-2005,-0.018780656,-0.013215341,-0.00581843,-0.034538758,-0.014172339,-0.011259588,0,-1
18-04-2005,-0.001613172,0.008923403,-0.020442693,-0.014761925,-0.015925358,0.005504887,0,-1
19-04-2005,0.005560795,0.027319662,-0.002833809,-0.003566643,0.001807607,0.030361992,0,-1
20-04-2005,-0.01142526,-0.019910589,0.004003564,0.017592164,-0.013178344,-0.00136648,0,-1
22-04-2005,-0.005976532,-0.011840633,0.007278287,0.00749181,-0.002877362,-0.017083163,0,-1
25-04-2005,0.008309756,0.018600908,0.000756936,0.004916583,-0.009639355,-0.00055122,0,-1
26-04-2005,-0.008957757,0.002888974,-0.002710147,-0.005955454,0.006339276,0.001102677,0,-1
27-04-2005,0.004685029,-0.002492731,-0.015097788,-0.009744512,-0.014328114,0.005221622,0,-1
28-04-2005,-0.012672587,-0.03228814,-0.008822558,0.000907479,0.017569203,-0.031886014,0,-1
29-04-2005,0.012055653,0.01639514,0.001761799,-0.020864815,-0.008566131,0.014606945,0,-1
03-05-2005,0.000511979,0.000445155,-0.00149285,0.00348377,0,0.006838416,0,-1
04-05-2005,0.012372214,0.030207517,-0.000343671,0.011639013,0,0.030139139,0,-1
05-05-2005,-0.00427115,-0.001492831,0.002969597,0.011083834,0,0.010070521,0,-1
06-05-2005,0.000485407,0.005997078,-0.00117783,0.004523036,0,0.00745388,0,-1
11-05-2005,0.001859902,-0.002587847,-0.011236495,-0.001485302,-0.009992011,0.002295834,0,-1
12-05-2005,-0.010812305,-0.023845771,-0.021409131,0.001812121,-0.018201177,-0.029154024,0,-1
13-05-2005,-0.004856018,-0.009582608,-0.013812589,-0.000818041,0.003286201,-0.019069734,0,-1
16-05-2005,0.011001255,0.020387728,-0.013775812,0.011786312,-0.011038161,0.013638172,0,-1
17-05-2005,0.00773315,0.001393671,0.006323759,-0.009547501,0.003801182,-0.012647779,0,-1
18-05-2005,0.012749568,0.019671702,0.015049814,-0.002942773,0.00301911,0.019189733,0,-1
19-05-2005,0.002742699,-0.002775154,-0.000463514,0.004942001,0.000462292,-0.001110392,0,-1
20-05-2005,-0.002030067,-0.012441651,-0.000896736,0.003168343,-0.003818817,-0.016242598,0,-1
23-05-2005,0.004920063,-0.012598398,-0.000433195,0.006185932,-0.026198335,0.007033205,0,-1
24-05-2005,-0.00189087,0.013535892,0.035615185,0.0038977,0.002800453,-0.002947732,0,-1
25-05-2005,-0.004377549,-0.002733413,-0.000612448,0.004897078,-0.001593752,0.0089571,0,-1
27-05-2005,0.000469655,0.031249401,0.001117693,0.005522372,-0.00655759,0.012735731,0,-1
31-05-2005,-0.007146078,-0.008571876,0.011407563,0.007707844,0.000543213,-0.049340849,0,-1
01-06-2005,0.007840196,0.02901134,-0.010897787,0.002200079,-0.020526239,-0.018964636,0,-1
02-06-2005,0.000343084,0.026280772,0.013622262,-0.011107666,-0.022503344,0.018531068,0,-1
03-06-2005,-0.008805471,-0.010338544,-0.000162668,0.01391953,-0.002390467,-0.003911168,0,-1
06-06-2005,0.000579181,-0.031203179,1.48E-05,0.00138296,0.020255453,0.033819385,0,-1
07-06-2005,0.001531262,-0.020956838,-0.004669408,0.003406357,-0.003328314,0.002522489,0,-1
08-06-2005,-0.000592556,-0.013031072,-0.001665502,0.011289432,0.078904254,-0.025658573,0,-1
09-06-2005,0.002493741,-0.008864369,0.002690191,-0.003755885,0.013771905,0.002581266,0,-1
10-06-2005,0.00091459,0.018894059,0.004531663,-0.007424394,-0.020333487,0.000429533,0,-1
14-06-2005,0.002374048,0.033253469,0.012408291,0.004016697,-0.011662364,-0.005144192,0,-1
15-06-2005,0.001780796,-0.010268514,-0.005443624,0.006798786,-0.019044964,0.017467997,0,-1
16-06-2005,0.001161529,0.010540385,-0.003174466,-0.000951639,0.012204774,0.009109309,0,-1
17-06-2005,0.004190225,0.013193618,0.008880741,0.000885043,-0.000368411,0.017973935,0,-1
20-06-2005,-0.001314982,-0.001802874,0.007007676,0.011234643,0.027268272,-0.010053137,0,-1
21-06-2005,-0.000890238,-0.012517549,-0.000275308,0.013081725,-0.012750157,-0.001384846,0,-1
22-06-2005,-0.001108218,-0.001712063,0.008513883,0.00967811,0.000496476,0.001107994,0,-1
23-06-2005,-0.01584938,-0.034145988,0.009068735,-0.00358639,-0.007588322,-0.009319256,0,-1
24-06-2005,-0.011931114,0.004061695,-0.000427271,0.004045363,0.007451293,0.001396622,0,-1
27-06-2005,-0.000685774,0.012324907,-0.002824579,0.000344058,0.020443409,0.006537041,0,-1
28-06-2005,0.011098619,0.001386496,-0.001529741,-0.014377642,-0.014375853,0.003736171,0,-1
29-06-2005,-0.002998005,-0.005358538,-0.00075859,0.010005092,-0.003249101,-0.004568158,0,-1
30-06-2005,-0.009638176,-0.00298942,0.011361332,0.010335653,-0.022008872,0.005810603,0,-1
01-07-2005,0.002767048,0.010325337,0.016135158,0.002349236,-0.023725536,-0.019923876,0,-1
05-07-2005,0.006612704,-0.014883621,-0.001805907,-0.007871718,-0.007894306,0.011751829,0,-1
06-07-2005,-0.009797362,-0.006423831,0.02883458,0.009284709,-0.005305384,0.001944963,0,-1
07-07-2005,0.003073001,-0.002736539,-0.003925289,-0.019743298,0.004876125,0.003602663,0,-1
08-07-2005,0.01415344,-0.001104905,0.015756409,0.009326419,-0.020047618,0.000138256,0,-1
11-07-2005,0.00673192,0.023990309,0.002533301,0.013039833,-0.006389778,0.037325475,0,-1
12-07-2005,-0.000554358,0.020573601,0.00109134,-0.000381917,0.033693872,0.034052698,0,-1
13-07-2005,0.004128849,0.012453461,0.00831881,-0.007702151,-0.008415443,-0.008535154,0,-1
14-07-2005,0.006749677,0.002472189,-0.003660757,-0.008341914,0.002908808,0.01418441,0,-1
15-07-2005,0.001122763,-0.027298242,-0.012148325,0.011596845,-0.013840831,-0.007195548,0,-1
18-07-2005,-0.006206694,0.003917461,-0.004243953,0.010337587,-0.013755416,-0.001936635,0,-1
19-07-2005,0.006744993,-0.001976598,0.003412697,-6.40E-05,0.002228522,0.002710037,0,-1
20-07-2005,0.00399245,0.017028032,0.016336885,-0.000509172,0.006580547,0.012422518,0,-1
21-07-2005,-0.005758902,0.00531555,-0.001307216,-0.005266587,-0.000411408,0.002161358,0,-1
22-07-2005,0.002200312,-0.017606295,0.017368506,0.016151037,0.024858183,-0.000508457,0,-1
25-07-2005,-0.00514874,-0.034457157,0.011734542,0.011032455,-0.000880634,-0.00637336,0,-1
26-07-2005,-0.001578272,0.013644213,-0.014295929,0.006264964,0.025878974,-0.01170482,0,-1
27-07-2005,0.005403293,0.018723409,0.003171511,0.006895456,0.015815675,0.013876477,0,-1
