CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKAPOLLOHOSP30-APR-2020,1692.5,1660,1660,1660,1660,1678.4,-0.83,2,500,1,830000
FUTSTKTCS30-APR-2020,2129.5,2129.5,2163.25,2129.5,2160.3,2173.6,2.07,21,2500,10,5366337.5
FUTSTKGAIL27-FEB-2020,116.15,116.2,118.25,114.85,117.9,117.9,1.5,8517,13975080,2620,1638260757
FUTSTKRAMCOCEM27-FEB-2020,800.85,803.5,815.65,795.75,798.4,798.4,-0.3,2196,752000,940,604028240
FUTSTKNESTLEIND26-MAR-2020,16512,16450,16562.55,16350,16504.55,16504.55,-0.04,53,550,11,9037907.5
FUTSTKIGL27-FEB-2020,515.4,516.1,520,511.25,516.15,516.15,0.14,2992,5131500,1866,2648248900
FUTSTKBIOCON26-MAR-2020,285.05,285.6,295,285.6,292.85,292.85,2.73,389,593400,258,172743915
FUTSTKSUNTV26-MAR-2020,475.55,479.85,485.2,472.75,481.4,481.4,1.23,29,32400,27,15518220
FUTSTKPFC27-FEB-2020,115.5,116.6,124.2,116.6,122.2,122.2,5.8,5226,31167400,5027,3776420930
FUTSTKBAJFINANCE30-APR-2020,4535.25,4531.5,4569.45,4517,4555,4585.45,1.1,44,14250,57,64731587.5
FUTSTKMARUTI30-APR-2020,7291.8,7272.5,7272.5,7125,7130,7130,-2.21,14,900,9,6443495
FUTSTKINFRATEL30-APR-2020,243.1,239,239,239,239,249.15,2.48,1,2000,1,478000
FUTSTKGLENMARK27-FEB-2020,314.6,315.25,321.3,310.55,320.15,320.15,1.76,5687,2699200,1928,856552480
FUTSTKGLENMARK26-MAR-2020,315.15,314.6,321.25,312.05,320.6,320.6,1.72,202,61600,44,19543580
FUTSTKHINDALCO26-MAR-2020,190.1,189.9,198.45,189.55,197.5,197.5,3.89,125,350000,100,67751250
FUTSTKMGL30-APR-2020,1215.2,0,0,0,,1206.75,-0.69,0,0,0,0
FUTSTKPAGEIND27-FEB-2020,24535.75,24711.4,24921,24426.9,24658.7,24658.7,0.5,5363,30400,1216,750184715
FUTSTKHDFC30-APR-2020,2364.3,2352,2410.95,2352,2410.95,2410.95,1.97,22,2750,11,6531050
FUTSTKBANKBARODA30-APR-2020,87.85,89.05,89.2,88.55,89.05,89.05,1.36,22,75600,14,6725430
FUTSTKBIOCON30-APR-2020,293.8,285.2,291.7,285.2,291.3,291.3,-0.85,37,34500,15,10035360
FUTSTKCOLPAL30-APR-2020,1376.8,1380.4,1390,1380.4,1390,1389.75,0.94,3,1400,2,1939280
FUTSTKIDEA26-MAR-2020,5.3,5.15,5.4,5.15,5.4,5.4,1.88,73,1274000,13,6757100
FUTSTKWIPRO30-APR-2020,243.35,0,0,0,,245.3,0.8,0,0,0,0
