Date,SMB %,HML %,WML %,VIX %,Rm %,Rf %,Rm-Rf %,MSCI World (Rgm %),Rgm-Rf %,Info Edge Returns %
27-May-15,-0.76908966,0.22517373,-0.13265169,1.26,0.07937542,0.03038142,0.048994,0.7,0.66961858,-1.327044025
28-May-15,-0.60228366,0.36172961,0.1828071,-0.87,-0.26389234,0.03023304,-0.29412538,-0.13,-0.16023304,-0.815858245
29-May-15,0.06105004,-0.82305921,1.18883246,-2.77,1.1719186,0.03023304,1.14168556,-0.67,-0.70023304,5.012531328
01-Jun-15,-0.06939835,-0.4398753,-0.92585648,1.53,-0.25890061,0.03023304,-0.28913365,-0.06,-0.09023304,-0.673153418
02-Jun-15,0.99837556,-1.10762151,-0.31130255,-0.55,-1.93393545,0.03023304,-1.96416849,0.23,0.19976696,-2.864888177
03-Jun-15,0.66431395,-4.63782691,1.18001312,4.07,-1.58137276,0.03023304,-1.6116058,0.42,0.38976696,-0.634276291
04-Jun-15,-0.22429049,0.27453772,0.39876406,3.53,0.03399063,0.02963901,0.00435162,-0.81,-0.83963901,1.385165326
05-Jun-15,0.76047429,-0.63925681,0.16438437,-0.19,0.21737312,0.02963901,0.18773411,-0.85,-0.87963901,-0.339986149
08-Jun-15,0.31034025,-1.13017196,-0.13926626,4.41,-1.16299607,0.02963901,-1.19263508,-0.47,-0.49963901,-0.802324847
09-Jun-15,-0.02508965,-0.7554263,-0.54630787,-4.63,-0.26522247,0.02963901,-0.29486148,-0.03,-0.05963901,-0.318430773
10-Jun-15,0.59514216,0.20687903,-0.0198025,-5.18,1.15535243,0.02963901,1.12571342,1.43,1.40036099,2.344748275
11-Jun-15,0.53420718,-0.95410168,0.08061888,4.26,-1.6541321,0.02963901,-1.68377111,0.15,0.12036099,1.454522754
12-Jun-15,-0.60649912,0.06513951,0.00481084,-1.84,-0.0661295,0.02963901,-0.09576851,-0.52,-0.54963901,0.873738617
15-Jun-15,0.61905459,-0.30766247,-0.13948304,0.27,0.33372132,0.02963901,0.30408231,-0.74,-0.76963901,-0.634378431
16-Jun-15,-0.13233522,0.13542454,0.26867065,-2.04,0.30681663,0.02963901,0.27717762,0.38,0.35036099,-0.890116636
17-Jun-15,0.68617112,0.05446719,0.14589033,-2.56,0.83426093,0.02963901,0.80462192,-0.09,-0.11963901,1.077733044
18-Jun-15,0.40034552,-0.5444748,-0.45959652,-4.26,1.00259574,0.02963901,0.97295673,1.05,1.02036099,3.75635762
19-Jun-15,-0.47012239,0.14979157,-0.17105721,-5.81,0.6310127,0.02963901,0.60137369,-0.32,-0.34963901,-1.021733995
22-Jun-15,-0.60393145,2.04544025,0.08055776,2.67,1.26276476,0.02963901,1.23312575,1.2,1.17036099,2.971537681
23-Jun-15,0.00547881,0.07433161,-0.19990394,-2.87,0.44992226,0.02963901,0.42028325,-0.01,-0.03963901,-1.703656487
24-Jun-15,0.58026236,-0.21481205,0.59510677,5.8,-0.41797197,0.02963901,-0.44761098,-0.57,-0.59963901,1.96309615
25-Jun-15,-0.44053911,0.70742082,-0.09726802,0.09,0.2999851,0.02963901,0.27034609,-0.24,-0.26963901,2.387835338
26-Jun-15,0.47227739,-0.27182432,0.58133957,-1.07,-0.07288759,0.02963901,-0.1025266,-0.3,-0.32963901,-1.39477102
29-Jun-15,-0.16208674,-1.16234778,0.51905007,9.76,-0.93036924,0.02963901,-0.96000825,-2.17,-2.19963901,-2.817546673
30-Jun-15,0.87874781,0.27412402,0.70975672,-2.14,0.84136122,0.02963901,0.81172221,-0.11,-0.13963901,0.748379493
01-Jul-15,0.03321103,1.2379935,-0.33808002,-6.39,1.09659849,0.02963901,1.06695948,0.67,0.64036099,2.017897877
02-Jul-15,0.84906375,-0.46920302,0.84728174,-1.81,0.33791908,0.02963901,0.30828007,0,-0.02963901,0.665061346
03-Jul-15,0.20622777,-0.03905609,0.72677387,4.8,0.18400347,0.02915571,0.15484776,-0.16,-0.18915571,-3.804533546
06-Jul-15,0.76536951,1.04358153,0.47899511,-1.76,0.66730629,0.02915571,0.63815058,-0.86,-0.88915571,0.811130847
07-Jul-15,0.73435688,0.38383765,-0.27869974,1.81,0.15311922,0.02915571,0.12396351,-0.26,-0.28915571,3.993657133
08-Jul-15,1.04321224,-0.56890424,1.41979416,9.09,-1.31744437,0.02915571,-1.34660008,-1.05,-1.07915571,-2.48489298
09-Jul-15,0.4630596,0.89965025,-0.10889869,-1.98,-0.42769569,0.02900688,-0.45670257,0.62,0.59099312,-1.627381711
10-Jul-15,0.06071611,0.05712907,-0.17071479,-2.11,0.12679597,0.02900688,0.09778909,1.51,1.48099312,-0.653479336
13-Jul-15,0.17164823,-0.18957805,0.58374834,-4.67,1.15922273,0.02900688,1.13021585,0.88,0.85099312,3.822222222
14-Jul-15,0.65834647,-0.10663374,0.47030217,-1.61,0.19017484,0.02900688,0.16116796,0.61,0.58099312,-1.267123288
15-Jul-15,0.16672642,0.21848417,0.33210669,-2.76,0.60787435,0.02900688,0.57886747,-0.07,-0.09900688,0.820904151
16-Jul-15,-0.37767057,-0.22154222,0.58123154,-5.04,0.86865221,0.02900688,0.83964533,0.78,0.75099312,0.768348624
17-Jul-15,0.03692302,-0.12587742,-0.23793982,0.14,0.19354606,0.02900688,0.16453918,-0.06,-0.08900688,0.779560715
20-Jul-15,1.05853881,-0.52935583,0.7689316,1.06,0.17205507,0.02900688,0.14304819,0.08,0.05099312,-0.734007114
21-Jul-15,-0.14193471,-1.07155934,0.4054824,0.92,-1.34488087,0.02900688,-1.37388775,-0.24,-0.26900688,-1.114839884
22-Jul-15,0.44932555,0.2119318,-0.0448703,0.22,0.99341704,0.02900688,0.96441016,-0.63,-0.65900688,2.018981881
23-Jul-15,0.6025952,0.44006282,-0.26408144,2.58,-0.17005904,0.028858,-0.19891704,-0.22,-0.248858,1.747857465
24-Jul-15,0.57962881,0.10799543,1.04575642,-0.4,-0.69601873,0.028858,-0.72487673,-0.98,-1.008858,-1.185858362
27-Jul-15,0.90280093,-0.28779199,1.23894695,5.9,-1.44695004,0.028858,-1.47580804,-0.68,-0.708858,-0.566397488
28-Jul-15,1.22320334,-0.39235628,1.46672794,-2.78,-0.28448066,0.028858,-0.31333866,0.78,0.751142,-6.519654842
29-Jul-15,1.05662686,-0.39094166,0.98835903,-0.24,0.56783117,0.028858,0.53897317,0.78,0.751142,-1.460030166
30-Jul-15,-0.13724209,1.60877833,-0.98396621,-3.48,0.653218,0.028858,0.62436,-0.05,-0.078858,0.251025531
31-Jul-15,-1.12525534,0.92689749,-0.41156247,-4.93,1.14395855,0.028858,1.11510055,0.33,0.301142,1.606204959
03-Aug-15,0.42551054,1.46601743,-0.47587517,5.63,0.39987566,0.028858,0.37101766,-0.25,-0.278858,1.226182605
04-Aug-15,0.45360933,0.63749938,-0.28725304,-3.64,0.35166164,0.028858,0.32280364,-0.13,-0.158858,-0.065316786
05-Aug-15,0.81463199,0.80578629,-0.42725596,-1.11,0.74269614,0.028858,0.71383814,0.22,0.191142,3.065953654
06-Aug-15,-0.77802422,0.12801246,-0.64376035,0.44,0.07370283,0.02870907,0.04499376,-0.57,-0.59870907,-0.155655483
07-Aug-15,0.53254554,0.08959048,0.01043328,1.22,-0.27750144,0.02870907,-0.30621051,-0.3,-0.32870907,-1.426179341
10-Aug-15,0.50027117,0.09305854,0.46247825,3.72,-0.40924932,0.02870907,-0.43795839,1.1,1.07129093,-1.323805061
11-Aug-15,0.06507015,-1.39765742,0.76214892,2.76,-0.8774101,0.02870907,-0.90611917,-0.96,-0.98870907,-1.092247418
12-Aug-15,-0.1375696,-2.38373272,0.9111983,9.77,-1.74378147,0.02870907,-1.77249054,-0.41,-0.43870907,-0.25207058
13-Aug-15,-1.04260119,-1.23235785,1.94247663,-2.45,-0.33766879,0.02807547,-0.36574426,-0.06,-0.08807547,0.324909747
14-Aug-15,-1.05496595,2.12510505,-0.9181276,-5.86,1.74536361,0.02807547,1.71728814,0.14,0.11192453,1.235456399
17-Aug-15,-0.15514143,-0.14564361,-0.79573339,2.76,-0.04587224,0.02807547,-0.07394771,0.3,0.27192453,-0.159952607
18-Aug-15,1.58617723,-0.6321653,0.8022573,-0.62,0.14253917,0.02807547,0.1144637,-0.28,-0.30807547,0.367887023
19-Aug-15,2.34986447,-2.61036064,0.75351654,1.96,0.18658057,0.02807547,0.1585051,-1.04,-1.06807547,-2.151936151
20-Aug-15,0.8787333,-2.67876852,1.43395704,1.77,-1.55978088,0.02869156,-1.58847244,-1.67,-1.69869156,-1.504440819
21-Aug-15,-0.06483001,-0.21800377,0.3027576,0.82,-0.7823979,0.02869156,-0.81108946,-2.73,-2.75869156,-0.754508649
24-Aug-15,-0.27515801,-3.98735677,1.42248507,64.36,-6.89419275,0.02869156,-6.92288431,-3.72,-3.74869156,-4.91995797
25-Aug-15,-1.8734484,0.5548517,-0.15330095,-4.56,1.29498805,0.02869156,1.26629649,-0.35,-0.37869156,-2.47676006
26-Aug-15,0.81835248,-0.27304095,-0.54933243,-4.96,-0.61685349,0.02869156,-0.64554505,2.06,2.03130844,-3.066257832
27-Aug-15,0.30367164,1.56973903,-0.29837196,-13.61,2.12528502,0.02870907,2.09657595,2.11,2.08129093,3.328290469
28-Aug-15,0.51965263,-1.86526873,-0.16088517,5.84,0.50864193,0.02870907,0.47993286,0.46,0.43129093,1.597231465
31-Aug-15,-0.15098237,0.06829617,-0.19725758,5.42,-0.16600739,0.02870907,-0.19471646,-0.76,-0.78870907,-1.92584829
01-Sep-15,-0.15379306,-1.270536,0.51805136,16.76,-2.04739683,0.02870907,-2.0761059,-2.72,-2.74870907,-0.367352391
02-Sep-15,0.90398691,-0.1904882,0.26054283,-7.2,-0.57479671,0.02870907,-0.60350578,0.93,0.90129093,0.965341557
03-Sep-15,0.57726045,-0.46168788,0.20570646,-9.51,1.22798903,0.02870907,1.19927996,0.45,0.42129093,-1.633357679
04-Sep-15,-0.51533091,-1.64049082,0.13840374,9.57,-1.97474934,0.02870907,-2.00345841,-1.68,-1.70870907,-0.141748228
07-Sep-15,-0.54104332,-0.50180062,-1.47932147,-0.27,-1.57847792,0.02870907,-1.60718699,0.18,0.15129093,-1.1626335
08-Sep-15,-0.66795688,0.56236998,-0.788596,-6.76,1.04225928,0.02870907,1.01355021,1.78,1.75129093,3.255368623
09-Sep-15,0.25658264,0.757032,-0.48338116,-1.09,1.69713669,0.02870907,1.66842762,0.07,0.04129093,6.775731885
10-Sep-15,0.38148538,-0.54635405,0.59939131,1.83,-0.29349687,0.02870907,-0.32220594,-0.17,-0.19870907,-2.723156132
